userId;qrCodeData;userLat;userLon
1;SCHOOL_QR_1_LEFT;-6.723813;108.55554
201;SCHOOL_QR_1_RIGHT;-6.723812;108.555596
202;SCHOOL_QR_1_LEFT;-6.723893;108.555558
203;SCHOOL_QR_1_RIGHT;-6.72389;108.555525
204;SCHOOL_QR_1_LEFT;-6.723883;108.555514
205;SCHOOL_QR_1_RIGHT;-6.723888;108.555573
206;SCHOOL_QR_1_LEFT;-6.723832;108.555539
207;SCHOOL_QR_1_RIGHT;-6.723873;108.555596
208;SCHOOL_QR_1_LEFT;-6.723863;108.555518
209;SCHOOL_QR_1_RIGHT;-6.723805;108.555576
210;SCHOOL_QR_1_LEFT;-6.723857;108.555529
211;SCHOOL_QR_1_RIGHT;-6.723814;108.555513
212;SCHOOL_QR_1_LEFT;-6.723827;108.555535
213;SCHOOL_QR_1_RIGHT;-6.723816;108.55552
214;SCHOOL_QR_1_LEFT;-6.723889;108.555539
215;SCHOOL_QR_1_RIGHT;-6.723811;108.555547
216;SCHOOL_QR_1_LEFT;-6.723879;108.555537
217;SCHOOL_QR_1_RIGHT;-6.723893;108.55559
218;SCHOOL_QR_1_LEFT;-6.723854;108.55556
219;SCHOOL_QR_1_RIGHT;-6.723812;108.555566
220;SCHOOL_QR_1_LEFT;-6.723829;108.555517
221;SCHOOL_QR_1_RIGHT;-6.723801;108.555554
222;SCHOOL_QR_1_LEFT;-6.723824;108.555527
223;SCHOOL_QR_1_RIGHT;-6.723889;108.555525
224;SCHOOL_QR_1_LEFT;-6.723803;108.555523
225;SCHOOL_QR_1_RIGHT;-6.723898;108.555599
226;SCHOOL_QR_1_LEFT;-6.723885;108.555551
227;SCHOOL_QR_1_RIGHT;-6.723818;108.555552
228;SCHOOL_QR_1_LEFT;-6.723898;108.555546
229;SCHOOL_QR_1_RIGHT;-6.723876;108.555505
230;SCHOOL_QR_1_LEFT;-6.723878;108.555577
231;SCHOOL_QR_1_RIGHT;-6.723893;108.555577
